simulation_id,position,name,bot_class,payout_pct
10,33,TestBot_4,TestBot4,0.0
10,34,TestBot_39,TestBot39,0.0
10,35,TestBot_36,TestBot36,0.0
10,36,TestBot_11,TestBot11,0.0
10,37,TestBot_18,TestBot18,0.0
10,38,TestBot_44,TestBot44,0.0
10,39,TestBot_12,TestBot12,0.0
10,40,TestBot_22,TestBot22,0.0
10,41,TestBot_17,TestBot17,0.0
10,42,TestBot_30,TestBot30,0.0
10,43,TestBot_33,TestBot33,0.0
10,44,TestBot_19,TestBot19,0.0
10,45,TestBot_40,TestBot40,0.0
10,46,TestBot_41,TestBot41,0.0
10,47,TestBot_2,TestBot2,0.0
10,48,TestBot_20,TestBot20,0.0
10,49,RandomBot,RandomBot,0.0
10,50,TestBot_9,TestBot9,0.0
10,51,TestBot_16,TestBot16,0.0
10,52,TestBot_31,TestBot31,0.0
9,1,CallBot,CallBot,0.5
9,2,TestBot_32,TestBot32,0.3
9,3,TestBot_27,TestBot27,0.2
9,4,TestBot_43,TestBot43,0.0
9,5,TestBot_22,TestBot22,0.0
9,6,TestBot_20,TestBot20,0.0
9,7,TestBot_47,TestBot47,0.0
9,8,TestBot_33,TestBot33,0.0
9,9,TestBot_9,TestBot9,0.0
9,10,TestBot_44,TestBot44,0.0
9,11,TestBot_8,TestBot8,0.0
9,12,TestBot_31,TestBot31,0.0
9,13,TestBot_25,TestBot25,0.0
9,14,TestBot_10,TestBot10,0.0
9,15,TestBot_48,TestBot48,0.0
9,16,TestBot_39,TestBot39,0.0
9,17,TestBot_15,TestBot15,0.0
9,18,TestBot_6,TestBot6,0.0
9,19,TestBot_50,TestBot50,0.0
9,20,TestBot_28,TestBot28,0.0
9,21,TestBot_26,TestBot26,0.0
9,22,TestBot_24,TestBot24,0.0
9,23,TestBot_4,TestBot4,0.0
9,24,TestBot_17,TestBot17,0.0
9,25,TestBot_41,TestBot41,0.0
9,26,TestBot_29,TestBot29,0.0
9,27,TestBot_16,TestBot16,0.0
9,28,TestBot_35,TestBot35,0.0
9,29,TestBot_38,TestBot38,0.0
9,30,TestBot_23,TestBot23,0.0
9,31,TestBot_3,TestBot3,0.0
9,32,TestBot_40,TestBot40,0.0
9,33,TestBot_2,TestBot2,0.0
9,34,TestBot_30,TestBot30,0.0
9,35,TestBot_7,TestBot7,0.0
9,36,TestBot_12,TestBot12,0.0
9,37,TestBot_45,TestBot45,0.0
9,38,TestBot_19,TestBot19,0.0
9,39,TestBot_37,TestBot37,0.0
9,40,TestBot_36,TestBot36,0.0
